id,name,centralized,trade_volume_24h_btc_normalized
hbtc_futures,BHEX (Futures),1,0.0
hebeswap,Hebeswap,0,0.0089344653549353
heliswap,HeliSwap,0,0.1152575986634063
henjindex,HenjinDEX,0,0.938364863865398
hercules-v2,Hercules V2,0,0.0286954688698481
hercules-v3,Hercules V3,0,14.535252135494675
hermes_protocol,Hermes Protocol,0,26.811633876598904
hitbtc,HitBTC,1,341.9172031753323
hitbtc_derivatives,HitBTC (Derivatives),1,0.0
hiveswap-v3,HiveSwap V3,0,9.83169084e-06
holdstation-defutures,Holdstation DeFutures,0,0.0
honeyswap,Honeyswap,0,0.659757768343622
honeyswap_polygon,Honeyswap (Polygon),0,0.0
honorswap,HonorSwap,0,0.0
hopeswap,HopeSwap,0,0.0
horizondex,HorizonDEX,0,0.3684695313492225
hotcoin_global,Hotcoin,1,11097.571676191335
howswap,HowSwap,0,0.0
huckleberry,Huckleberry,0,0.0640237820076678
huobi,HTX,1,33912.62599750732
huobi_dm,HTX Futures,1,0.0
huobi_japan,BitTrade,1,103.40791799255153
hydra,Hydra DEX,0,0.0
hydradx,Hydration,0,24.85837021770194
hyperblast,HyperBlast,0,0.0
hyperliquid,Hyperliquid (Futures),0,0.0
hyperliquid-spot,Hyperliquid,0,115.47659317026859
icdex,ICDex,0,0.1300644508946927
icecreamswap-core,IcecreamSwap (Core),0,0.0481142659661309
icecreamswap-v3-core,IceCreamSwap V3 (CORE) ,0,0.4567875860058655
icpex,ICPEx,0,0.0
icpswap,ICPSwap,0,3.361094944499904
icrypex,Icrypex,1,253.80581380283917
idex,Idex,0,0.0
illuminex,illumineX,0,0.1495165485202713
impossible_finance,Impossible Finance,0,0.0976384875703678
impossible-finance-humanode,Impossible Finance (Humanode),0,0.0625585561907536
impossible_finance_v3,Impossible Finance (v3),0,0.0395355455831673
increment_swap,Increment Swap,0,3.634814069258182
independent_reserve,Independent Reserve,1,228.59235780398564
indodax,Indodax,1,203.57038759504917
infusion,Infusion,0,1.0742489222547495
injective,Helix,0,77.8206485638441
injective_futures,Helix (Futures),0,0.0
inx_one,INX One,1,4.743841462740022
iotabee-shimmerevm,Iotabee (ShimmerEVM),0,0.0
itbit,itBit,1,188.21400134604096
iziswap,iZiSwap (BSC),0,0.1423784794549162
iziswap-linea,iZiSwap (Linea),0,19.528841562779125
iziswap-manta-pacific,iZiSwap (Manta Pacific),0,1.1071406271128874
iziswap-mantle,iZiSwap (Mantle),0,0.5742616730456761
iziswap-mode,iZiSwap (Mode),0,1.5287986504309323
iziswap-scroll,iZiSwap (Scroll),0,28.2796704159594
iziswap-taiko,iZiSwap (Taiko),0,9.83214656710374
iziswap-x-layer,iZiSwap (X Layer),0,0.0935682984949134
iziswap-zetachain,iZiSwap (Zetachain),0,0.2789743139100048
iziswap-zkfair,iZiSwap (ZKFair),0,0.0
iziswap-zklink-nova,iZiSwap (zkLink Nova) ,0,0.4807196379267868
iziswap_zksync,iZiSwap (zkSync),0,2.301790294754117
